R0_true,sigma_true,n_seeds,R0_mean,R0_bias,R0_sd,sigma_mean,sigma_bias,sigma_sd,source_file
2.4,0.94,20,2.5489949748743723,0.1489949748743724,0.5795461115170376,0.9296482412060302,-0.010351758793969768,0.07082322094394773,peak_estimates_sigma0p94_R02p4.csv
2.6,0.94,20,2.7683417085427138,0.16834170854271369,0.4898697877908001,0.9264321608040202,-0.013567839195979703,0.04367141705870195,peak_estimates_sigma0p94_R02p6.csv
2.8,0.94,20,2.9002512562814067,0.10025125628140685,0.48244863158124895,0.9250251256281408,-0.014974874371859181,0.04236994816995227,peak_estimates_sigma0p94_R02p8.csv
3.0,0.94,20,3.0178391959798994,0.017839195979899358,0.518139651982262,0.9290452261306534,-0.010954773869346512,0.04286889318367874,peak_estimates_sigma0p94_R03p0.csv
1.2,0.975,20,1.1748743718592964,-0.025125628140703515,0.07615048670505975,0.7477386934673367,-0.2272613065326633,0.14861428137297733,peak_estimates_sigma0p975_R01p2.csv
1.4,0.975,20,1.298492462311558,-0.101507537688442,0.12272660920897535,0.7583919597989951,-0.21660804020100488,0.11366745542717177,peak_estimates_sigma0p975_R01p4.csv
1.6,0.975,20,1.571356783919598,-0.02864321608040199,0.19068383735674238,0.8532663316582914,-0.12173366834170862,0.08819662471761294,peak_estimates_sigma0p975_R01p6.csv
1.8,0.975,20,1.7695979899497487,-0.030402010050251338,0.26978629553314254,0.8661306532663318,-0.10886934673366822,0.11162262734259912,peak_estimates_sigma0p975_R01p8.csv
2.0,0.975,20,1.9565326633165827,-0.04346733668341729,0.24033539313830973,0.9121608040201007,-0.06283919597989929,0.04272977585045676,peak_estimates_sigma0p975_R02p0.csv
2.2,0.975,20,2.169849246231156,-0.03015075376884413,0.4431615617225573,0.9133668341708546,-0.06163316582914535,0.049879183236639084,peak_estimates_sigma0p975_R02p2.csv
2.4,0.975,20,2.4276381909547737,0.027638190954773822,0.3698233003789707,0.9390954773869347,-0.035904522613065315,0.0326144936519631,peak_estimates_sigma0p975_R02p4.csv
2.6,0.975,20,2.6040201005025123,0.004020100502512225,0.46156523594143606,0.9288442211055277,-0.04615577889447231,0.06218481962254552,peak_estimates_sigma0p975_R02p6.csv
2.8,0.975,20,2.738190954773869,-0.06180904522613062,0.4725190642367544,0.9338693467336684,-0.041130653266331585,0.0522283378197755,peak_estimates_sigma0p975_R02p8.csv
3.0,0.975,20,2.7698492462311557,-0.2301507537688443,0.4370190015927533,0.9483417085427137,-0.026658291457286265,0.04278945294829771,peak_estimates_sigma0p975_R03p0.csv
