R0,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
6.000000000000000000e+00,2.000000000000000111e-01,2.083333333333333215e+01,2.300000000000000000e+01,1.800000000000000000e+01,1.044817927170868410e+00,9.910930664400594003e-02,2.402173913043478137e+02,1.437045059288537777e+04,1.630434782608695699e+01,1.857707509881422636e+00,5.000000000000000000e+01,4.177865621376353200e-01,1.548680784039912339e+01
6.000000000000000000e+00,3.000000000000000444e-01,2.250000000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,1.017441860465116310e+00,1.718760593938571668e-02,2.349565217391304373e+02,1.371786166007904831e+04,1.565217391304347849e+01,8.735177865612652193e-01,4.800000000000000000e+01,1.815920324261265373e-01,1.535256333406947071e+01
6.000000000000000000e+00,4.000000000000000222e-01,2.182352941176470651e+01,2.300000000000000000e+01,1.700000000000000000e+01,1.031073446327683607e+00,3.585890110593619590e-02,2.298260869565217490e+02,1.302224110671936796e+04,1.613043478260869534e+01,1.209486166007904817e+00,4.500000000000000000e+01,2.679760583238255944e-01,1.525186741337724250e+01
6.000000000000000000e+00,5.000000000000000000e-01,2.219999999999999929e+01,2.300000000000000000e+01,2.000000000000000000e+01,1.018867924528301883e+00,2.328382175832998877e-02,2.286956521739130324e+02,1.309322134387351798e+04,1.930434782608695699e+01,1.675889328063240535e+00,4.100000000000000000e+01,7.879311438196058281e-01,1.923742510139476991e+01
6.000000000000000000e+00,5.999999999999999778e-01,2.115789473684210620e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.020887728459530130e+00,2.574057113173759334e-02,2.148260869565217490e+02,1.247942292490118598e+04,1.747826086956521863e+01,2.169960474308300746e+00,3.600000000000000000e+01,5.880528018834365600e-01,1.786909464671104075e+01
6.000000000000000000e+00,6.999999999999999556e-01,2.210526315789473628e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.024937655860349128e+00,2.437655860349127387e-02,2.076521739130434696e+02,1.065514624505928987e+04,1.826086956521739069e+01,1.837944664031620157e+00,3.800000000000000000e+01,6.239968757295536461e-01,1.826822945871556669e+01
6.000000000000000000e+00,7.999999999999999334e-01,2.235000000000000142e+01,2.300000000000000000e+01,2.000000000000000000e+01,1.023419203747072626e+00,3.700893887917669489e-02,2.020434782608695627e+02,1.022186166007905194e+04,1.943478260869565233e+01,1.438735177865612114e+00,3.700000000000000000e+01,8.143225341942904594e-01,1.972464205056241227e+01
6.000000000000000000e+00,8.999999999999999112e-01,2.235000000000000142e+01,2.300000000000000000e+01,2.000000000000000000e+01,1.016393442622950838e+00,1.616254906488109183e-02,1.871304347826086882e+02,8.491027667984189975e+03,1.943478260869565233e+01,1.347826086956521507e+00,3.800000000000000000e+01,7.943630455369486976e-01,1.973276962450428584e+01
6.000000000000000000e+00,9.999999999999998890e-01,2.194999999999999929e+01,2.300000000000000000e+01,2.000000000000000000e+01,1.040572792362768562e+00,4.380445581299745317e-02,1.765217391304347814e+02,7.809897233201581003e+03,1.908695652173912904e+01,3.628458498023714451e+00,3.200000000000000000e+01,8.083419473299643387e-01,1.970944501054867359e+01
7.000000000000000000e+00,1.000000000000000056e-01,1.894117647058823550e+01,2.300000000000000000e+01,1.700000000000000000e+01,1.019672131147540961e+00,2.592752372735116981e-02,2.703913043478260647e+02,1.847052173913043589e+04,1.400000000000000000e+01,3.636363636363636465e-01,5.200000000000000000e+01,1.833239890799001903e-01,1.317514715241842360e+01
